Light incubation,,,,,Lazy coral experiment,,"Name: Lisa Hahn, Anna Emiglia Lang, AndrÈ Dietzmann",,,,,,,,,Dark incubation,,,,,,,,,
Date,Day,Salinity,Calcium mg / L,Run,Glass,Parking Space,Start Time,O2 start,Temp start,End Time,O2 end,Temp end,Syringe number,Comments,Stirring fish,Glass,Parking Space,Start Time,O2 start,Temp start,End Time,O2 end,Temp end,Comments,Stirring fish
7/22/2019,1,34,396-402,1,1,A2,10:10,6.84,25.2,10:40,7.47,26.3,1,,J,1,A2,11:12,7.76,26.5,11:42,7.34,26.9,,J
7/22/2019,1,34,396-402,1,2,A4 ,10:13,6.91,25.3,10:44,7.35,26.4,2,,J,2,A4,11:17,7.58,26.8,11:47,7.11,27.1,,J
7/22/2019,1,34,396-402,1,3,A6,10:14,6.94,25.3,10:46,7.36,26.5,3,,J,3,A6,11:20,7.46,26.9,11:50,7.02,27.1,,J
7/22/2019,1,34,396-402,1,4,A8,10:16,6.94,25.3,10:49,7.13,26.5,4,,J,4,A8,11:22,7.23,26.9,11:52,6.95,27.1,,J
7/22/2019,1,34,396-402,1,5,B2,10:18,6.86,25.3,10:51,7.02,26.4,5,,J,5,B2,11:23,7.02,26.7,11:54,6.88,27,,J
7/22/2019,1,34,396-402,1,6,B4,10:20,6.86,25.2,10:53,7.15,26.4,6,,J,6,B4,11:25,7.05,26.7,11:56,6.94,26.9,,J
7/22/2019,1,34,396-402,1,7,B6,10:22,6.91,25.2,10:56,7.14,26.5,7,,J,7,B6,11:27,6.97,26.7,11:59,6.83,27.1,,J
7/22/2019,1,34,396-402,1,8,B8,10:23,6.93,25.2,10:59,7.1,26.4,8,,J,8,B8,11:28,6.97,26.7,12:01,6.76,26.9,,J
7/22/2019,1,34,396-402,1,9,C6,10:25,6.92,25.1,11:02,7.02,26.7,9,Koralle sieht etwas blas aus ,J,9,C6,11:30,6.91,26.7,12:03,6.84,27.1,Koralle sieht etwas blas aus ,J
7/22/2019,1,34,396-402,1,10,C7,10:27,6.93,25.1,11:04,6.86,26.8,10,Kontrolle ,J,10,C7,11:31,6.85,27,12:05,6.79,27.1,Kontrolle,J
7/22/2019,1,34,396-402,2,1,A2,13:00,6.94,25.8,13:30,7.33,27.1,11,,J,1,A2,13:51,7.34,26.9,14:19,6.91,27.1,,J
7/22/2019,1,34,396-402,2,2,A4 ,13:01,6.93,25.7,13:33,7.32,27.2,12,,J,2,A4,13:55,7.44,27.1,14:25,7.05,27,,J
7/22/2019,1,34,396-402,2,3,A6,13:03,6.98,25.7,13:35,7.32,27.1,13,,J,3,A6,13:56,7.47,27.2,14:27,7.01,27.2,,J
7/22/2019,1,34,396-402,2,4,A8,13:04,6.96,25.7,13:36,7.12,27.1,14,,J,4,A8,13:57,7.27,27.1,14:29,7.03,27.1,,J
7/22/2019,1,34,396-402,2,5,B2,13:07,6.93,25.6,13:38,7.04,26.8,15,Koralle sieht etwas wieﬂ aus ,J,5,B2,14:00,7.02,27,14:32,6.91,27,Koralle sieht etwas wieﬂ aus ,J
7/22/2019,1,34,396-402,2,6,B4,13:09,7.01,25.6,13:39,7.15,26.7,16,,J,6,B4,14:01,7,27,14:33,6.92,27,,J
7/22/2019,1,34,396-402,2,7,B6,13:10,6.99,25.6,13:41,7.16,26.8,17,,J,7,B6,14:02,6.97,27.1,14:35,6.87,27.1,,J
7/22/2019,1,34,396-402,2,8,B8,13:12,6.98,25.7,13:43,7.07,26.6,18,,J,8,B8,14:03,6.94,26.9,14:37,6.78,27,,J
7/22/2019,1,34,396-402,2,9,C6,13:14,7.01,25.4,13:44,7.06,26.9,19,,J,9,C6,14:05,6.93,27.1,14:39,6.82,26.9,,J
7/22/2019,1,34,396-402,2,10,C7,13:16,7.01,25.4,13:46,6.93,26.9,20,Kontrolle ,J,10,C7,14:06,6.87,27,14:40,6.9,26.9,Kontrolle,J
7/22/2019,1,34,396-402,3,1,A2,14:58,6.95,26.1,15:28,7.55,27.3,21,,J,1,A2,15:52,7.64,27.2,16:22,7.09,27.1,,J
7/22/2019,1,34,396-402,3,2,A4 ,14:59,7,26.1,15:30,7.51,27.3,22,,J,2,A4,15:54,7.66,27.3,16:25,7.12,27.2,,J
7/22/2019,1,34,396-402,3,3,A6,15:01,6.99,26.1,15:32,7.3,27.1,23,,J,3,A6,15:55,7.58,27.3,16:28,6.95,27.1,,J
7/22/2019,1,34,396-402,3,4,A8,15:02,6.89,26,15:34,7.11,27.1,24,,J,4,A8,15:56,7.25,27.3,16:30,6.84,27.2,,J
7/22/2019,1,34,396-402,3,5,B2,15:04,6.96,26,15:35,7.03,26.9,25,,J,5,B2,15:57,7.11,27.1,16:32,6.83,27.1,,J
