filename,fragment_ID,species,genus,family,colony,col_frag,surface_mm2,volume_cm3
Acy_A1_color,Acy-A1,Acy,Acropora,Acroporidae,A,A1,2450.63,2597.61
Acy_A2,Acy-A2,Acy,Acropora,Acroporidae,A,A2,2240.39,1896.82
Acy_A3_color,Acy-A3,Acy,Acropora,Acroporidae,A,A3,2257.1,1979.76
Acy_B1_color,Acy-B1,Acy,Acropora,Acroporidae,B,B1,1293.8,1228.35
Acy_B3_color,Acy-B3,Acy,Acropora,Acroporidae,B,B3,1346.86,1264.39
Acy_B4_color,Acy-B4,Acy,Acropora,Acroporidae,B,B4,1557.53,1360.59
Acy_D1_color,Acy-D1,Acy,Acropora,Acroporidae,D,D1,1730.11,1697.72
Acy_D2_color,Acy-D2,Acy,Acropora,Acroporidae,D,D2,2086.42,2170.66
Acy_D3_color,Acy-D3,Acy,Acropora,Acroporidae,D,D3,1711.99,1615.04
Amu_A1_color,Amu-A1,Amu,Acropora,Acroporidae,A,A1,1798.78,2135.85
Amu_A2_color,Amu-A2,Amu,Acropora,Acroporidae,A,A2,2082.48,2802.66
Amu_A3_color,Amu-A3,Amu,Acropora,Acroporidae,A,A3,2672.64,3689.56
Amu_B1_color,Amu-B1,Amu,Acropora,Acroporidae,B,B1,1919.96,2005.3
Amu_B2_color,Amu-B2,Amu,Acropora,Acroporidae,B,B2,1396.73,1609.52
Amu_B4_color,Amu-B4,Amu,Acropora,Acroporidae,B,B4,1704.38,1723.43
Amu_D1_color,Amu-D1,Amu,Acropora,Acroporidae,D,D1,1454.02,2048.4
Amu_D2_color,Amu-D2,Amu,Acropora,Acroporidae,D,D2,1353.22,1804.99
Amu_D3_color,Amu-D3,Amu,Acropora,Acroporidae,D,D3,1830.03,2372.24
Mdi_A1_color,Mdi-A1,Mdi,Montipora,Acroporidae,A,A1,2794.91,3894.93
Mdi_A3_color,Mdi-A3,Mdi,Montipora,Acroporidae,A,A3,2601.3,3762.38
Mdi_A4_color,Mdi-A4,Mdi,Montipora,Acroporidae,A,A4,3038.93,4938.8
Mdi_C1_color,Mdi-C1,Mdi,Montipora,Acroporidae,C,C1,2454.03,3275.81
Mdi_C3_color,Mdi-C3,Mdi,Montipora,Acroporidae,C,C3,2890.36,4363.37
Mdi_C4_color,Mdi-C4,Mdi,Montipora,Acroporidae,C,C4,2132.67,3411.4
Mdi_D1_color,Mdi-D1,Mdi,Montipora,Acroporidae,D,D1,3376.94,3358.81
Mdi_D3_color,Mdi-D3,Mdi,Montipora,Acroporidae,D,D3,2630.54,3571.41
Mdi_D4_color,Mdi-D4,Mdi,Montipora,Acroporidae,D,D4,3730.9,4987.15
Pcy_A1_color,Pcy-A1,Pcy,Porites,Poritidae,A,A1,1310.9,1928.61
