"","Filename","jar","run","day","S","TA_mmolL","fragment_ID"
"1","Alkalinity_preT7_5_01_08_19_09_26_13","1","1","8",35.4,2.59834962214265,"PveF1_AcyB1_PruD1"
"2","Alkalinity_preT7_5_01_08_19_09_34_08","2","1","8",35.4,2.61649528221561,"PveA1_AcyD1_PruE2"
"3","Alkalinity_preT7_5_01_08_19_09_41_01","3","1","8",35.4,2.60589245778477,"PveB1_AcyA1_PruA1"
"4","Alkalinity_preT7_5_01_08_19_09_48_13","4","1","8",35.4,2.62872183507979,"PdaA1_MdiC1_PloB1"
"5","Alkalinity_preT7_5_01_08_19_09_55_14","5","1","8",35.4,2.60557965427573,"PdaB1_MdiA1_PloC1"
"6","Alkalinity_preT7_5_01_08_19_10_02_40","6","1","8",35.4,2.64273222807253,"PdaD1_MdiD1_PloD1"
"7","Alkalinity_preT7_5_01_08_19_10_10_46","7","1","8",35.4,2.62143679357472,"SpiA1_AmuD1_PcyB1"
"8","Alkalinity_preT7_5_01_08_19_10_18_47","8","1","8",35.4,2.60955224587043,"SpiB1_AmuB1_PcyC1"
"9","Alkalinity_preT7_5_01_08_19_10_25_20","9","1","8",35.4,2.62358571942415,"SpiD1_AmuA1_PcyA1"
"10","Alkalinity_preT7_5_01_08_19_10_32_18","10","1","8",35.4,2.66818332998797,"control"
"11","Alkalinity_preT7_5_01_08_19_11_22_32","1","2","8",35.4,2.59643169335595,"PveF3_AcyB3_PruD3"
"12","Alkalinity_preT7_5_01_08_19_11_29_50","2","2","8",35.4,2.60984932703558,"PveA2_AcyD2_PruE3"
"13","Alkalinity_preT7_5_01_08_19_11_38_05","3","2","8",35.4,2.59889632778634,"PveB3_AcyA2_PruA3"
"14","Alkalinity_preT7_5_01_08_19_11_44_47","4","2","8",35.4,2.61758914486462,"PdaA2_MdiC3_PloB2"
"15","Alkalinity_preT7_5_01_08_19_11_50_42","5","2","8",35.4,2.59691124891398,"PdaB2_MdiA3_PloC2"
