Serial number;Method name;Last modification;Sample ID;Start time;End time;Weight [g];Titration duration [s];Start pH;End pH;Start temperature [°C];End temperature [°C];Zero point [pH];Slope [%];EP [ml];EP [pH];Result [ml];Mean value 1 [ml];RSD 1 [%];Name;Recalculation
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;firsttestoftheday11;08/05/19 8:35:10;08/05/19 8:39:25;1.00000;254.49;7.979;3.488;25.1;25.1;6.87;98.2;9.451;3.490;9.45 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day11_19_08_05_Prob1;08/05/19 9:29:24;08/05/19 9:33:46;1.00000;261.15;7.993;3.488;26.3;26.1;6.87;98.2;9.524;3.490;9.52 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day11_19_08_05_Prob2;08/05/19 9:38:40;08/05/19 9:42:52;1.00000;251.79;7.993;3.489;26.0;25.9;6.87;98.2;9.463;3.490;9.46 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day11_19_08_05_Prob4;08/05/19 9:50:59;08/05/19 9:55:11;1.00000;251.24;7.977;3.489;25.6;25.9;6.87;98.2;9.501;3.490;9.50 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day11_19_08_05_Prob5;08/05/19 9:58:21;08/05/19 10:02:27;1.00000;245.34;7.987;3.489;25.8;25.9;6.87;98.2;9.537;3.490;9.54 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day11_19_08_05_Prob6;08/05/19 10:04:26;08/05/19 10:08:47;1.00000;260.36;7.992;3.488;25.9;25.9;6.87;98.2;9.543;3.490;9.54 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day11_19_08_05_Prob7;08/05/19 10:10:58;08/05/19 10:15:06;1.00000;247.44;7.975;3.486;26.0;26.0;6.87;98.2;9.496;3.490;9.50 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day11_19_08_05_Prob8;08/05/19 10:17:09;08/05/19 10:21:07;1.00000;238.50;7.976;3.485;26.3;26.2;6.87;98.2;9.508;3.490;9.51 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day11_19_08_05_Prob9;08/05/19 10:23:37;08/05/19 10:29:27;1.00000;349.26;7.983;3.488;26.0;26.0;6.87;98.2;9.492;3.490;9.49 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day11_19_08_05_Prob10;08/05/19 10:31:39;08/05/19 10:37:34;1.00000;354.61;7.978;3.488;25.9;25.9;6.87;98.2;9.538;3.490;9.54 ;;;A 162 2M-DIN-ID;
