"","V1"
"Alkalinity_preT7_5[1]_05_08_19-09_33_46.csv",2.58087065501971
"Alkalinity_preT7_5[1]_05_08_19-09_42_52.csv",2.56960752388346
"Alkalinity_preT7_5[1]_05_08_19-09_55_11.csv",2.58117769425269
"Alkalinity_preT7_5[1]_05_08_19-10_02_27.csv",2.59199187166522
"Alkalinity_preT7_5[1]_05_08_19-10_08_47.csv",2.59020123104986
"Alkalinity_preT7_5[1]_05_08_19-10_15_06.csv",2.57172481453819
"Alkalinity_preT7_5[1]_05_08_19-10_21_07.csv",2.57124897662072
"Alkalinity_preT7_5[1]_05_08_19-10_29_27.csv",2.58581537642135
"Alkalinity_preT7_5[1]_05_08_19-10_37_34.csv",2.60459835896298
"Alkalinity_preT7_5[1]_05_08_19-11_29_06.csv",2.56835819481636
"Alkalinity_preT7_5[1]_05_08_19-11_41_05.csv",2.55404111143141
"Alkalinity_preT7_5[1]_05_08_19-11_48_31.csv",2.60508947888651
"Alkalinity_preT7_5[1]_05_08_19-11_55_07.csv",2.58021156044609
"Alkalinity_preT7_5[1]_05_08_19-12_03_11.csv",2.57603864570557
"Alkalinity_preT7_5[1]_05_08_19-12_10_02.csv",2.57888935754448
"Alkalinity_preT7_5[1]_05_08_19-12_16_27.csv",2.56323452819456
"Alkalinity_preT7_5[1]_05_08_19-12_22_38.csv",2.57471894656567
"Alkalinity_preT7_5[1]_05_08_19-12_28_45.csv",2.56253117994241
"Alkalinity_preT7_5[1]_05_08_19-12_34_38.csv",2.56543071605936
"Alkalinity_preT7_5[1]_05_08_19-13_25_13.csv",2.59332084534128
"Alkalinity_preT7_5[1]_05_08_19-13_42_59.csv",2.57667493192268
"Alkalinity_preT7_5[1]_05_08_19-13_50_32.csv",2.59630017043524
"Alkalinity_preT7_5[1]_05_08_19-13_57_37.csv",2.59605331271225
"Alkalinity_preT7_5[1]_05_08_19-14_05_16.csv",2.59638696756006
"Alkalinity_preT7_5[1]_05_08_19-14_11_51.csv",2.60205107386364
"Alkalinity_preT7_5[1]_05_08_19-14_18_20.csv",2.59561023170039
"Alkalinity_preT7_5[1]_05_08_19-14_24_33.csv",2.5870287205939
"Alkalinity_preT7_5[1]_05_08_19-14_30_41.csv",2.5982239454089
"Alkalinity_preT7_5[1]_05_08_19-14_37_13.csv",2.59744816675276
