ml;pH;sec;°C
0.000;8.054;0.0;26.3
7.500;5.568;12.0;26.3
7.500;5.605;12.4;26.3
7.545;5.651;13.5;26.3
7.591;5.625;14.7;26.3
7.636;5.560;15.8;26.3
7.682;5.473;17.0;26.3
7.727;5.393;18.1;26.3
7.773;5.300;19.2;26.3
7.819;5.200;20.4;26.3
7.864;5.102;21.5;26.3
7.910;4.984;22.7;26.3
7.956;4.893;23.8;26.3
8.001;4.806;25.0;26.3
8.047;4.716;26.1;26.3
8.093;4.626;27.2;26.3
8.116;4.572;28.0;26.3
8.136;4.364;40.4;26.3
8.156;4.337;43.4;26.3
8.176;4.311;47.0;26.3
8.196;4.287;50.4;26.3
8.216;4.262;53.9;26.3
8.236;4.244;56.9;26.3
8.256;4.220;59.8;26.3
8.276;4.202;62.8;26.3
8.296;4.182;66.0;26.3
8.316;4.162;69.4;26.3
8.336;4.140;72.1;26.3
8.356;4.122;75.5;26.3
8.376;4.104;78.6;26.3
8.396;4.085;81.4;26.3
8.416;4.067;84.7;26.3
8.436;4.050;87.7;26.3
8.456;4.035;90.7;26.3
8.476;4.020;93.8;26.3
8.496;4.004;96.6;26.3
8.516;3.989;99.9;26.3
8.536;3.974;102.5;26.3
8.556;3.959;105.2;26.3
8.576;3.943;108.2;26.3
8.596;3.928;110.9;26.3
8.616;3.917;113.6;26.3
8.636;3.904;116.4;26.3
8.656;3.892;119.1;26.3
8.676;3.880;121.7;26.3
8.696;3.867;124.4;26.3
8.716;3.854;127.0;26.3
8.736;3.843;129.7;26.3
8.756;3.831;132.6;26.3
8.776;3.820;135.2;26.3
8.796;3.810;137.9;26.3
8.816;3.797;140.7;26.3
8.836;3.787;143.4;26.3
8.856;3.776;146.1;26.3
8.876;3.765;148.7;26.3
8.896;3.754;151.4;26.3
8.916;3.745;154.0;26.3
8.936;3.734;156.7;26.3
8.956;3.724;159.4;26.3
8.976;3.714;162.0;26.3
8.996;3.706;164.7;26.3
9.016;3.696;167.4;26.3
9.036;3.687;170.0;26.3
9.056;3.679;172.7;26.3
9.076;3.671;175.3;26.3
9.096;3.663;178.0;26.3
9.116;3.655;180.7;26.3
9.136;3.646;183.3;26.3
9.156;3.639;186.0;26.3
9.176;3.632;188.6;26.3
9.196;3.623;191.3;26.3
9.216;3.615;194.0;26.3
9.236;3.609;196.6;26.3
9.256;3.602;199.3;26.3
9.276;3.595;201.9;26.3
9.296;3.588;204.6;26.3
9.316;3.582;207.3;26.3
9.336;3.575;209.9;26.3
9.356;3.568;212.6;26.3
9.376;3.561;215.3;26.3
9.396;3.556;217.9;26.4
9.416;3.548;220.6;26.3
9.436;3.543;223.2;26.3
9.456;3.538;225.9;26.3
9.476;3.531;228.6;26.3
9.496;3.525;231.2;26.3
9.516;3.519;233.9;26.3
9.536;3.513;236.6;26.3
9.556;3.508;239.2;26.3
9.576;3.501;241.9;26.3
9.596;3.496;244.5;26.3
9.616;3.491;247.2;26.3
9.636;3.486;249.9;26.3
9.636;3.486;250.1;26.3
