Serial number;Method name;Last modification;Sample ID;Start time;End time;Weight [g];Titration duration [s];Start pH;End pH;Start temperature [°C];End temperature [°C];Zero point [pH];Slope [%];EP [ml];EP [pH];Result [ml];Mean value 1 [ml];RSD 1 [%];Name;Recalculation
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;firsttestoftheday22.7;07/22/19 10:44:41;07/22/19 10:49:05;1.00000;264.35;8.003;3.487;25.5;25.7;6.86;98.5;9.570;3.490;9.57 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_22.07_Probe1;07/22/19 10:57:41;07/22/19 11:02:02;1.00000;260.95;7.943;3.488;26.4;26.2;6.86;98.5;9.597;3.490;9.60 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe2;07/22/19 11:04:00;07/22/19 11:08:45;1.00000;284.89;7.930;3.489;25.9;26.0;6.86;98.5;9.586;3.490;9.59 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe3;07/22/19 11:10:21;07/22/19 11:14:55;1.00000;273.69;7.933;3.488;25.9;26.0;6.86;98.5;9.593;3.490;9.59 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe4;07/22/19 11:16:46;07/22/19 11:21:07;1.00000;260.75;7.915;3.486;26.0;26.1;6.86;98.5;9.664;3.490;9.66 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe5;07/22/19 11:22:48;07/22/19 11:27:18;1.00000;269.48;7.895;3.487;25.6;26.1;6.86;98.5;9.667;3.490;9.67 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe6;07/22/19 11:28:56;07/22/19 11:33:28;1.00000;271.59;7.924;3.490;25.9;26.2;6.86;98.5;9.640;3.490;9.64 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe7;07/22/19 11:35:31;07/22/19 11:39:49;1.00000;257.74;7.896;3.488;25.4;26.0;6.86;98.5;9.639;3.490;9.64 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe8;07/22/19 11:42:32;07/22/19 11:46:53;1.00000;260.19;7.934;3.488;25.5;26.1;6.86;98.5;9.627;3.490;9.63 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe9;07/22/19 11:48:25;07/22/19 11:52:44;1.00000;258.10;7.928;3.487;25.6;26.2;6.86;98.5;9.665;3.490;9.66 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe10;07/22/19 11:55:04;07/22/19 11:59:24;1.00000;259.45;7.927;3.488;25.8;26.1;6.86;98.5;9.675;3.490;9.68 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe11;07/22/19 13:02:24;07/22/19 13:06:35;1.00000;250.52;7.992;3.487;26.4;26.9;6.86;98.5;9.510;3.490;9.51 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe12;07/22/19 13:08:05;07/22/19 13:12:23;1.00000;258.47;8.000;3.488;26.4;26.7;6.86;98.5;9.548;3.490;9.55 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe13;07/22/19 13:14:10;07/22/19 13:18:23;1.00000;252.57;8.003;3.485;26.3;26.6;6.86;98.5;9.493;3.490;9.49 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe14;07/22/19 13:21:19;07/22/19 13:25:51;1.00000;271.56;7.973;3.488;26.0;26.5;6.86;98.5;9.600;3.490;9.60 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe15;07/22/19 13:29:13;07/22/19 13:33:40;1.00000;267.06;7.997;3.486;26.0;26.5;6.86;98.5;9.617;3.490;9.62 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe16;07/22/19 13:36:37;07/22/19 13:40:51;1.00000;253.92;8.018;3.487;26.0;26.3;6.86;98.5;9.569;3.490;9.57 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe17;07/22/19 13:42:14;07/22/19 13:46:36;1.00000;261.16;7.976;3.486;25.8;26.4;6.86;98.5;9.581;3.490;9.58 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe18;07/22/19 13:48:23;07/22/19 13:52:37;1.00000;254.32;8.013;3.490;26.0;26.3;6.86;98.5;9.585;3.490;9.59 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe19;07/22/19 13:54:31;07/22/19 13:58:54;1.00000;262.86;8.017;3.485;26.1;26.4;6.86;98.5;9.615;3.490;9.62 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe20;07/22/19 14:00:27;07/22/19 14:04:44;1.00000;256.61;7.969;3.485;25.8;26.2;6.86;98.5;9.614;3.490;9.61 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day1_07.22_Probe21;07/22/19 15:04:05;07/22/19 15:08:17;1.00000;251.81;8.050;3.489;26.4;26.8;6.86;98.5;9.448;3.490;9.45 ;;;A 162 2M-DIN-ID;
