ml;pH;sec;°C
0.000;8.003;0.0;25.5
7.500;4.365;12.0;25.5
7.500;4.922;19.8;25.6
7.500;4.922;19.8;25.6
7.500;4.923;20.0;25.6
7.545;4.918;21.1;25.6
7.591;4.866;22.3;25.6
7.636;4.826;23.4;25.6
7.682;4.783;24.6;25.6
7.728;4.736;25.7;25.6
7.773;4.695;26.9;25.6
7.819;4.647;28.0;25.6
7.865;4.602;29.1;25.6
7.881;4.575;29.7;25.6
7.901;4.551;34.8;25.6
7.921;4.526;37.7;25.6
7.941;4.505;40.5;25.7
7.961;4.479;43.6;25.6
7.981;4.455;46.8;25.7
8.001;4.429;49.7;25.7
8.021;4.409;52.3;25.7
8.041;4.386;55.4;25.7
8.061;4.366;58.4;25.6
8.081;4.345;61.5;25.7
8.101;4.321;64.3;25.7
8.121;4.296;67.0;25.7
8.141;4.275;70.2;25.6
8.161;4.252;73.2;25.7
8.181;4.226;75.9;25.7
8.201;4.206;78.8;25.7
8.221;4.187;81.4;25.7
8.241;4.165;84.1;25.7
8.261;4.150;87.1;25.7
8.281;4.131;89.8;25.7
8.301;4.114;92.6;25.7
8.321;4.094;95.3;25.7
8.341;4.074;98.0;25.7
8.361;4.058;101.0;25.7
8.381;4.039;103.7;25.6
8.401;4.026;106.5;25.7
8.421;4.009;109.2;25.7
8.441;3.993;112.0;25.7
8.461;3.980;115.1;25.7
8.481;3.965;117.7;25.7
8.501;3.951;120.4;25.7
8.521;3.935;123.1;25.7
8.541;3.922;125.7;25.7
8.561;3.906;128.4;25.7
8.581;3.894;131.1;25.7
8.601;3.881;133.7;25.7
8.621;3.869;136.4;25.7
8.641;3.858;139.0;25.7
8.661;3.847;141.7;25.7
8.681;3.833;144.4;25.6
8.701;3.823;147.0;25.7
8.721;3.813;149.7;25.7
8.741;3.801;152.3;25.7
8.761;3.789;155.0;25.7
8.781;3.779;157.7;25.7
8.801;3.768;160.3;25.7
8.821;3.759;163.0;25.7
8.841;3.750;165.6;25.7
8.861;3.741;168.3;25.7
8.881;3.733;171.0;25.7
8.901;3.723;173.6;25.7
8.921;3.713;176.3;25.7
8.941;3.703;179.0;25.7
8.961;3.696;181.6;25.7
8.981;3.687;184.3;25.7
9.001;3.678;186.9;25.7
9.021;3.670;189.6;25.7
9.041;3.664;192.3;25.7
9.061;3.655;194.9;25.7
9.081;3.647;197.6;25.7
9.101;3.640;200.3;25.7
9.121;3.632;202.9;25.7
9.141;3.624;205.6;25.7
9.161;3.618;208.2;25.7
9.181;3.610;210.9;25.7
9.201;3.602;213.6;25.7
9.221;3.595;216.2;25.7
9.241;3.589;218.9;25.7
9.261;3.583;221.5;25.7
9.281;3.576;224.2;25.7
9.301;3.570;226.9;25.7
9.321;3.563;229.5;25.7
9.341;3.556;232.2;25.7
9.361;3.551;234.9;25.7
9.381;3.544;237.5;25.7
9.401;3.537;240.2;25.7
9.421;3.532;242.8;25.7
9.441;3.526;245.5;25.7
9.461;3.520;248.2;25.7
9.481;3.515;250.8;25.7
9.501;3.509;253.5;25.7
9.521;3.503;256.2;25.7
9.541;3.498;258.8;25.7
9.561;3.493;261.5;25.7
9.581;3.487;264.1;25.7
9.581;3.487;264.3;25.7
