ml;pH;sec;°C
0.000;7.946;0.0;25.3
7.500;4.109;12.0;25.3
7.500;5.040;22.3;25.3
7.500;5.040;22.3;25.3
7.500;5.041;22.5;25.3
7.545;4.984;23.6;25.3
7.590;4.918;24.8;25.3
7.636;4.876;25.9;25.3
7.681;4.861;27.0;25.3
7.727;4.823;28.2;25.3
7.773;4.785;29.3;25.3
7.818;4.741;30.5;25.3
7.864;4.751;31.6;25.3
7.910;4.764;32.8;25.3
7.955;4.756;33.9;25.3
8.001;4.716;35.0;25.3
8.047;4.673;36.2;25.3
8.092;4.598;37.3;25.3
8.101;4.574;37.7;25.3
8.121;4.536;42.5;25.4
8.141;4.513;45.1;25.3
8.161;4.496;47.8;25.3
8.181;4.475;50.4;25.3
8.201;4.453;54.3;25.3
8.221;4.432;56.9;25.3
8.241;4.412;59.6;25.3
8.261;4.385;62.2;25.3
8.281;4.360;64.9;25.3
8.301;4.332;67.6;25.3
8.321;4.314;71.4;25.3
8.341;4.292;74.0;25.3
8.361;4.268;77.8;25.3
8.381;4.244;82.0;25.3
8.401;4.228;84.7;25.3
8.421;4.208;87.3;25.3
8.441;4.187;90.0;25.3
8.461;4.165;92.7;25.3
8.481;4.150;95.3;25.3
8.501;4.127;98.9;25.3
8.521;4.109;101.6;25.3
8.541;4.093;104.3;25.3
8.561;4.071;108.1;25.3
8.581;4.053;110.7;25.3
8.601;4.036;113.4;25.3
8.621;4.021;116.0;25.3
8.641;4.003;118.7;25.3
8.661;3.989;121.6;25.3
8.681;3.974;124.2;25.3
8.701;3.961;126.9;25.3
8.721;3.942;129.7;25.3
8.741;3.927;133.3;25.3
8.761;3.914;136.0;25.3
8.781;3.899;138.7;25.3
8.801;3.884;141.9;25.3
8.821;3.872;144.6;25.2
8.841;3.857;147.2;25.3
8.861;3.848;149.9;25.3
8.881;3.838;152.6;25.3
8.901;3.825;156.2;25.3
8.921;3.812;159.8;25.3
8.941;3.805;162.4;25.3
8.961;3.792;165.1;25.3
8.981;3.780;167.8;25.3
9.001;3.772;170.4;25.3
9.021;3.761;173.1;25.3
9.041;3.748;176.3;25.3
9.061;3.741;179.0;25.3
9.081;3.729;181.6;25.3
9.101;3.722;184.3;25.3
9.121;3.711;187.0;25.3
9.141;3.701;190.0;25.3
9.161;3.691;193.4;25.3
9.181;3.684;196.1;25.3
9.201;3.675;198.8;25.3
9.221;3.666;201.4;25.3
9.241;3.658;204.1;25.3
9.261;3.651;206.7;25.3
9.281;3.643;209.4;25.3
9.301;3.634;212.1;25.3
9.321;3.627;214.7;25.3
9.341;3.620;217.4;25.3
9.361;3.611;220.0;25.3
9.381;3.602;222.7;25.2
9.401;3.596;225.4;25.3
9.421;3.589;228.0;25.3
9.441;3.582;230.7;25.2
9.461;3.576;233.4;25.3
9.481;3.570;236.0;25.3
9.501;3.563;238.7;25.3
9.521;3.554;241.3;25.3
9.541;3.549;244.0;25.3
9.561;3.542;247.1;25.3
9.581;3.536;249.7;25.3
9.601;3.530;252.4;25.3
9.621;3.524;255.0;25.3
9.641;3.519;257.7;25.3
9.661;3.512;260.4;25.3
9.681;3.507;263.0;25.3
9.701;3.501;265.7;25.3
9.721;3.496;268.3;25.3
9.741;3.489;271.0;25.2
9.741;3.489;271.2;25.2
