assemblages;jar;run;day;file_name;TA;dTA;swd;temp;sal;;;,,,,,
Pve_F1;jar1;run1;day1;Alkalinity_preT7_5[1]_22_07_19-11_02_02.csv;2,535402864;0,02112570312240;1061,757909;26,38333333;34,0;;;
Pve_A1;jar2;run1;day1;Alkalinity_preT7_5[1]_22_07_19-11_08_45.csv;2,517149894;0,03937867237912;1061,757909;26,38333333;34,0;;;
Pve_B1;jar3;run1;day1;Alkalinity_preT7_5[1]_22_07_19-11_14_55.csv;2,577858432;-0,02132986546453;1061,757909;26,38333333;34,0;;;
Amu_D1;jar4;run1;day1;Alkalinity_preT7_5[1]_22_07_19-11_21_07.csv;2,552747219;0,00378134763966;1061,757909;26,38333333;34,0;;;
Amu_B1;jar5;run1;day1;Alkalinity_preT7_5[1]_22_07_19-11_27_18.csv;2,555488974;0,00103959320486;1061,757909;26,38333333;34,0;;;
Amu_A1;jar6;run1;day1;Alkalinity_preT7_5[1]_22_07_19-11_33_28.csv;2,57027307;-0,01374450304147;1061,757909;26,38333333;34,0;;;
Plo_B1;jar7;run1;day1;Alkalinity_preT7_5[1]_22_07_19-11_39_49.csv;2,555655016;0,00087355081669;1061,757909;26,38333333;34,0;;;
Plo_C1;jar8;run1;day1;Alkalinity_preT7_5[1]_22_07_19-11_46_53.csv;2,543701879;0,01282668794234;1061,757909;26,38333333;34,0;;;
Plo_D1;jar9;run1;day1;Alkalinity_preT7_5[1]_22_07_19-11_52_44.csv;2,558360536;-0,00183196937207;1061,757909;26,38333333;34,0;;;
control;jar10;run1;day1;Alkalinity_preT7_5[1]_22_07_19-11_59_24.csv;2,556528567;;1061,757909;26,38333333;34,0;;;,
Pve_F3;jar1;run2;day1;Alkalinity_preT7_5[1]_22_07_19-13_06_35.csv;2,502561662;0,04256964192399;1061,757909;26,38333333;34,0;;;
Pve_A2;jar2;run2;day1;Alkalinity_preT7_5[1]_22_07_19-13_12_23.csv;2,525246153;0,01988515126784;1061,757909;26,38333333;34,0;;;
Pve_B3;jar3;run2;day1;Alkalinity_preT7_5[1]_22_07_19-13_18_23.csv;2,502017953;0,04311335129262;1061,757909;26,38333333;34,0;;;
Amu_D2;jar4;run2;day1;Alkalinity_preT7_5[1]_22_07_19-13_25_51.csv;2,534353213;0,01077809053358;1061,757909;26,38333333;34,0;;;
Amu_B2;jar5;run2;day1;Alkalinity_preT7_5[1]_22_07_19-13_33_40.csv;2,542874825;0,00225647933038;1061,757909;26,38333333;34,0;;;
Amu_A2;jar6;run2;day1;Alkalinity_preT7_5[1]_22_07_19-13_40_51.csv;2,533190879;0,01194042497704;1061,757909;26,38333333;34,0;;;
Plo_B2;jar7;run2;day1;Alkalinity_preT7_5[1]_22_07_19-13_46_36.csv;2,524733828;0,02039747549573;1061,757909;26,38333333;34,0;;;
Plo_C2;jar8;run2;day1;Alkalinity_preT7_5[1]_22_07_19-13_52_37.csv;2,53490648;0,01022482369962;1061,757909;26,38333333;34,0;;;
Plo_D2;jar9;run2;day1;Alkalinity_preT7_5[1]_22_07_19-13_58_54.csv;2,533313637;0,01181766699116;1061,757909;26,38333333;34,0;;;
control;jar10;run2;day1;Alkalinity_preT7_5[1]_22_07_19-14_04_44.csv;2,545131304;;1061,757909;26,38333333;34,0;;;,
Pve_F4;jar1;run3;day1;Alkalinity_preT7_5[1]_22_07_19-15_08_17.csv;2,48506668;0,04166352125304;1061,757909;26,38333333;34,0;;;
Pve_A4;jar2;run3;day1;Alkalinity_preT7_5[1]_22_07_19-15_13_42.csv;2,476653697;0,05007650429995;1061,757909;26,38333333;34,0;;;
Pve_B4;jar3;run3;day1;Alkalinity_preT7_5[1]_22_07_19-15_21_07.csv;2,486643621;0,04008658058964;1061,757909;26,38333333;34,0;;;
Amu_D3;jar4;run3;day1;Alkalinity_preT7_5[1]_22_07_19-15_26_49.csv;2,524495613;0,00223458786087;1061,757909;26,38333333;34,0;;;
Amu_B4;jar5;run3;day1;Alkalinity_preT7_5[1]_22_07_19-15_33_43.csv;2,52881867;-0,00208846870202;1061,757909;26,38333333;34,0;;;
Amu_A3;jar6;run3;day1;Alkalinity_preT7_5[1]_22_07_19-15_39_24.csv;2,510792731;0,01593747068589;1061,757909;26,38333333;34,0;;;
Plo_B3;jar7;run3;day1;Alkalinity_preT7_5[1]_22_07_19-15_46_03.csv;2,515726895;0,01100330650193;1061,757909;26,38333333;34,0;;;
Plo_C3;jar8;run3;day1;Alkalinity_preT7_5[1]_22_07_19-15_54_47.csv;2,519292083;0,00743811846799;1061,757909;26,38333333;34,0;;;
Plo_D3;jar9;run3;day1;Alkalinity_preT7_5[1]_22_07_19-16_00_24.csv;2,517563503;0,00916669818220;1061,757909;26,38333333;34,0;;;
control;jar10;run3;day1;Alkalinity_preT7_5[1]_22_07_19-16_06_12.csv;2,526730201;;1061,757909;26,38333333;34,0;;;,
