assemblages;jar;run;day;file_name;TA;dTA;swd;temp;sal;;;
Pve-F1 | Pda-A1 | Spi-A1;jar1;run1;day6;Alkalinity_preT7_5[1]_30_07_19-10_00_20.csv;2,545539155;0,07934036525856;1062,598859;26,22666667;35,1;;;
Pve-A1 | Pda-B1 | Spi-B1;jar2;run1;day6;Alkalinity_preT7_5[1]_30_07_19-10_11_31.csv;2,516241391;0,10863812936408;1062,598859;26,22666667;35,1;;;
Pve-B1 | Pda-D1 | Spi-D1;jar3;run1;day6;Alkalinity_preT7_5[1]_30_07_19-10_18_24.csv;2,543365597;0,08151392328967;1062,598859;26,22666667;35,1;;;
Amu-D1 | Acy-B1 | Mdi-C1;jar4;run1;day6;Alkalinity_preT7_5[1]_30_07_19-10_26_53.csv;2,602854205;0,02202531499973;1062,598859;26,22666667;35,1;;;
Amu-B1 | Acy-D1 | Mdi-A1;jar5;run1;day6;Alkalinity_preT7_5[1]_30_07_19-10_34_39.csv;2,59638549;0,02849403007263;1062,598859;26,22666667;35,1;;;
Amu-A1 | Acy-A1 | Mdi-D1;jar6;run1;day6;Alkalinity_preT7_5[1]_30_07_19-10_41_47.csv;2,587490517;0,03738900336380;1062,598859;26,22666667;35,1;;;
Plo-B1 | Pcy-B1 | Pru-D1;jar7;run1;day6;Alkalinity_preT7_5[1]_30_07_19-10_49_04.csv;2,587135243;0,03774427739329;1062,598859;26,22666667;35,1;;;
Plo-C1 | Pcy-C1 | Pru-E2;jar8;run1;day6;Alkalinity_preT7_5[1]_30_07_19-10_55_46.csv;2,590693764;0,03418575609965;1062,598859;26,22666667;35,1;;;
Plo-D1 | Pcy-A1 | Pru-A1;jar9;run1;day6;Alkalinity_preT7_5[1]_30_07_19-11_03_18.csv;2,587624394;0,03725512635101;1062,598859;26,22666667;35,1;;;
control;jar10;run1;day6;Alkalinity_preT7_5[1]_30_07_19-11_16_57.csv;2,62487952;;1062,598859;26,22666667;35,1;;;
Pve-F3 | Pda-A2 | Spi-A2;jar1;run2;day6;Alkalinity_preT7_5[1]_30_07_19-12_20_24.csv;2,512505487;0,08298930442415;1062,598859;26,22666667;35,1;;;
Pve-A2 | Pda-B2 | Spi-B2;jar2;run2;day6;Alkalinity_preT7_5[1]_30_07_19-12_26_53.csv;2,474435164;0,12105962826732;1062,598859;26,22666667;35,1;;;
Pve-B3 | Pda-D2 | Spi-D2;jar3;run2;day6;Alkalinity_preT7_5[1]_30_07_19-12_33_49.csv;2,505372353;0,09012243925506;1062,598859;26,22666667;35,1;;;
Amu-D2 | Acy-B3 | Mdi-C3;jar4;run2;day6;Alkalinity_preT7_5[1]_30_07_19-12_41_11.csv;2,561901737;0,03359305502560;1062,598859;26,22666667;35,1;;;
Amu-B2 | Acy-D2 | Mdi-A3;jar5;run2;day6;Alkalinity_preT7_5[1]_30_07_19-12_49_03.csv;2,577519986;0,01797480602547;1062,598859;26,22666667;35,1;;;
Amu-A2 | Acy-A2 | Mdi-D3;jar6;run2;day6;Alkalinity_preT7_5[1]_30_07_19-12_55_59.csv;2,570655401;0,02483939069408;1062,598859;26,22666667;35,1;;;
Plo-B2 | Pcy-B2 | Pru-D3;jar7;run2;day6;Alkalinity_preT7_5[1]_30_07_19-13_04_02.csv;2,56344749;0,03204730168736;1062,598859;26,22666667;35,1;;;
Plo-C2 | Pcy-C3 | Pru-E3;jar8;run2;day6;Alkalinity_preT7_5[1]_30_07_19-13_13_49.csv;2,554517582;0,04097721021703;1062,598859;26,22666667;35,1;;;
Plo-D2 | Pcy-A2 | Pru-A3;jar9;run2;day6;Alkalinity_preT7_5[1]_30_07_19-13_21_19.csv;2,571153396;0,02434139568934;1062,598859;26,22666667;35,1;;;
control;jar10;run2;day6;Alkalinity_preT7_5[1]_30_07_19-13_28_07.csv;2,595494792;;1062,598859;26,22666667;35,1;;;
Pve-F4 |  Pda-A4 |  Spi-A4;jar1;run3;day6;Alkalinity_preT7_5[1]_30_07_19-14_41_15.csv;2,491082472;0,08903487755052;1062,598859;26,22666667;35,1;;;
Pve-A4 | Pda-B4 | Spi-B3;jar2;run3;day6;Alkalinity_preT7_5[1]_30_07_19-14_47_45.csv;2,49252846;0,08758888948797;1062,598859;26,22666667;35,1;;;
Pve-B4 | Pda-D4 | Spi-D4;jar3;run3;day6;Alkalinity_preT7_5[1]_30_07_19-14_58_35.csv;2,510582908;0,06953444130504;1062,598859;26,22666667;35,1;;;
Amu-D3 | Acy-B4 | Mdi-C4;jar4;run3;day6;Alkalinity_preT7_5[1]_30_07_19-15_05_25.csv;2,552558976;0,02755837379848;1062,598859;26,22666667;35,1;;;
Amu-B4 | Acy-D3 | Mdi-A4;jar5;run3;day6;Alkalinity_preT7_5[1]_30_07_19-15_12_55.csv;2,557609896;0,02250745329942;1062,598859;26,22666667;35,1;;;
